source,target,weight
1912,2109,1
1912,2156,2
1912,2432,1
1912,2542,1
1922,2174,3
1922,2176,2
1922,2225,1
1928,2143,1
1928,2527,1
1945,2434,2
2000,2491,1
2000,2558,1
2062,2108,1
2062,2373,2
2062,2374,2
2062,2432,1
2062,2558,1
2075,2113,1
2075,2156,2
2075,2404,1
2075,2432,1
2075,2470,1
2075,2542,2
2079,2193,1
2079,2328,1
2079,2341,1
2094,2197,1
2094,2284,1
2094,2328,1
2094,2341,1
2094,2434,1
2108,2325,1
2108,2373,1
2108,2505,1
2109,2156,1
2128,2311,2
2174,2176,3
2174,2225,1
2176,2225,2
2193,2341,1
2197,2203,1
2197,2325,1
2203,2284,1
2203,2303,1
2203,2325,1
2203,2425,1
2225,2343,2
2225,2422,2
2241,2303,1
2247,2404,1
2272,2286,1
2272,2294,1
2272,2339,1
2286,2294,4
2286,2339,2
2294,2339,2
2303,2425,1
2310,2491,1
2311,2382,1
2325,2374,1
2325,2432,1
2325,2505,1
2328,2341,1
2328,2384,1
2343,2422,1
2373,2558,1
2374,2384,1
2374,2558,1
2382,2415,1
2384,2491,1
2422,2432,1
2432,2542,1
2470,2542,1
2491,2558,1
